,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Offense
NE,99.0,83.0,95.0,118.0,114.0,115.0,145.0,173.0,153.0,120.0,robbery
NE,96.0,73.0,81.0,75.0,50.0,77.0,70.0,92.0,79.0,100.0,arson
NE,821.0,709.0,745.0,754.0,1028.0,1099.0,1301.0,1547.0,1579.0,1542.0,violent-crime
NE,13085.0,13570.0,14215.0,13475.0,12835.0,12910.0,13940.0,16014.0,14758.0,13789.0,property-crime
AZ,270.0,227.0,341.0,855.0,751.0,634.0,618.0,650.0,701.0,874.0,aggravated-assault
AZ,1717.0,1541.0,1570.0,2691.0,2669.0,2224.0,1851.0,1690.0,1462.0,1488.0,burglary
AZ,5067.0,4572.0,4291.0,7788.0,7593.0,6847.0,6136.0,6654.0,6479.0,7250.0,larceny
AZ,369.0,299.0,342.0,598.0,666.0,623.0,565.0,628.0,623.0,763.0,motor-vehicle-theft
AZ,11.0,14.0,9.0,13.0,11.0,10.0,11.0,27.0,27.0,31.0,homicide
AZ,56.0,34.0,46.0,85.0,94.0,111.0,113.0,121.0,138.0,128.0,rape
AZ,110.0,109.0,138.0,187.0,197.0,163.0,162.0,223.0,141.0,169.0,robbery
AZ,48.0,34.0,38.0,70.0,106.0,75.0,89.0,96.0,80.0,58.0,arson
AZ,447.0,384.0,534.0,1140.0,1053.0,918.0,904.0,1021.0,1007.0,1202.0,violent-crime
AZ,7201.0,6446.0,6241.0,11147.0,11034.0,9769.0,8641.0,9068.0,8644.0,9559.0,property-crime
NH,1273.0,1499.0,1453.0,1407.0,1441.0,1543.0,1599.0,1559.0,1433.0,1102.0,aggravated-assault
NH,6483.0,6832.0,6263.0,5744.0,5140.0,4310.0,3843.0,3189.0,2360.0,2043.0,burglary
NH,23809.0,24458.0,24999.0,23678.0,22218.0,20138.0,17528.0,16194.0,15232.0,14192.0,larceny
NH,978.0,999.0,966.0,900.0,867.0,913.0,899.0,952.0,925.0,909.0,motor-vehicle-theft
NH,14.0,17.0,15.0,22.0,18.0,16.0,17.0,13.0,21.0,33.0,homicide
NH,534.0,556.0,616.0,637.0,567.0,643.0,608.0,617.0,556.0,554.0,rape
NH,551.0,575.0,580.0,823.0,689.0,611.0,545.0,520.0,426.0,391.0,robbery
NH,376.0,297.0,362.0,255.0,226.0,185.0,235.0,141.0,135.0,145.0,arson
NH,2372.0,2647.0,2664.0,2889.0,2715.0,2813.0,2769.0,2709.0,2436.0,2080.0,violent-crime
NH,31646.0,32586.0,32590.0,30577.0,28451.0,25546.0,22505.0,20476.0,18652.0,17289.0,property-crime
NJ,,,,,,,,,,,
NJ,,,,,,,,,,,
NJ,,,,,,,,,,,
NJ,,,,,,,,,,,
NJ,,,,,,,,,,,
NJ,,,,,,,,,,,
NJ,,,,,,,,,,,
NJ,,,,,,,,,,,
NJ,,,,,,,,,,,
NJ,,,,,,,,,,,
VT,591.0,665.0,636.0,561.0,454.0,471.0,593.0,722.0,745.0,904.0,aggravated-assault
VT,3632.0,4253.0,4531.0,3644.0,2145.0,1515.0,2157.0,2169.0,1638.0,1398.0,burglary
VT,10861.0,11331.0,11677.0,10292.0,7645.0,3708.0,8015.0,7537.0,6730.0,7627.0,larceny
VT,451.0,554.0,477.0,373.0,193.0,200.0,212.0,240.0,278.0,310.0,motor-vehicle-theft
VT,7.0,11.0,8.0,10.0,13.0,12.0,16.0,17.0,11.0,12.0,homicide
VT,159.0,165.0,153.0,144.0,130.0,182.0,203.0,266.0,325.0,279.0,rape
VT,103.0,132.0,150.0,114.0,102.0,143.0,131.0,136.0,98.0,103.0,robbery
VT,70.0,72.0,85.0,106.0,60.0,18.0,50.0,43.0,51.0,65.0,arson
VT,860.0,973.0,947.0,829.0,699.0,808.0,943.0,1141.0,1179.0,1298.0,violent-crime
VT,15014.0,16210.0,16770.0,14415.0,10043.0,5441.0,10434.0,9989.0,8697.0,9400.0,property-crime
NM,,,,,,,,,5482.0,5883.0,aggravated-assault
NM,,,,,,,,,7461.0,7072.0,burglary
NM,,,,,,,,,27379.0,26412.0,larceny
NM,,,,,,,,,7307.0,6163.0,motor-vehicle-theft
NM,,,,,,,,,74.0,97.0,homicide
NM,,,,,,,,,587.0,618.0,rape
NM,,,,,,,,,3440.0,2913.0,robbery
NM,,,,,,,,,125.0,124.0,arson
NM,,,,,,,,,9583.0,9511.0,violent-crime
