,ori,agency_name,agency_type_name,state_name,state_abbr,division_name,region_name,region_desc,county_name,nibrs,latitude,longitude,nibrs_start_date
151,TX101769E,St. Thomas University,University or College,Texas,TX,West South Central,South,Region III,HARRIS,False,,,
152,TX2470200,Poth Police Department,City,Texas,TX,West South Central,South,Region III,WILSON,False,29.173883,-98.086734,
153,TX1810000,Orange County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,ORANGE,True,30.120918,-93.893358,02/01/2019
154,TX1430100,Hallettsville Police Department,City,Texas,TX,West South Central,South,Region III,LAVACA,True,29.443789,-96.94298,03/01/2017
155,TX0840400,Galveston Police Department,City,Texas,TX,West South Central,South,Region III,GALVESTON,True,29.29432,-94.828705,10/01/2019
156,TX0670200,Eastland Police Department,City,Texas,TX,West South Central,South,Region III,EASTLAND,True,32.324645,-98.83656,03/01/2017
157,TX0290300,Seadrift Police Department,City,Texas,TX,West South Central,South,Region III,CALHOUN,False,28.445366,-96.5833,
158,TX2460400,Hutto Police Department,City,Texas,TX,West South Central,South,Region III,WILLIAMSON,False,30.542425,-97.54668,
159,TX2010000,Rusk County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,RUSK,True,32.154736,-94.80016,12/01/2010
160,TX1017200,Independent School District: Pasadena,Other,Texas,TX,West South Central,South,Region III,HARRIS,True,29.677027,-95.19033,03/01/2019
161,TX1250100,Alice Police Department,City,Texas,TX,West South Central,South,Region III,JIM WELLS,False,27.733516,-98.090814,
162,TX0450300,Weimar Police Department,City,Texas,TX,West South Central,South,Region III,COLORADO,False,29.595991,-96.508433,
163,TX0680000,Ector County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,ECTOR,False,31.865301,-102.542507,
164,TX1650000,Midland County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,MIDLAND,False,31.870896,-102.024326,
165,TX1090100,Hillsboro Police Department,City,Texas,TX,West South Central,South,Region III,HILL,True,31.982681,-97.130668,03/01/2018
166,TX1040000,Haskell County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,HASKELL,False,33.175965,-99.730773,
167,TX1080300,Edcouch Police Department,City,Texas,TX,West South Central,South,Region III,HIDALGO,True,26.396384,-98.18099,12/01/2016
168,TX0460100,New Braunfels Police Department,City,Texas,TX,West South Central,South,Region III,GUADALUPE; COMAL,True,29.692354,-98.11035,02/01/2018
169,TX2401000,Rio Bravo Police Department,City,Texas,TX,West South Central,South,Region III,WEBB,True,27.770584,-99.326641,07/01/2015
170,TX1160700,Caddo Mills Police Department,City,Texas,TX,West South Central,South,Region III,HUNT,False,33.123292,-96.084202,01/01/2020
171,TX0140200,Belton Police Department,City,Texas,TX,West South Central,South,Region III,BELL,False,31.042303,-97.481374,
172,TX0210000,Brazos County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,BRAZOS,False,30.687794,-96.3732,
173,TX2011100,Tatum Police Department,City,Texas,TX,West South Central,South,Region III,PANOLA; RUSK,True,32.109423,-94.756382,01/01/2019
174,TX1400500,Sudan Police Department,City,Texas,TX,West South Central,South,Region III,LAMB,True,34.068861,-102.348018,01/01/2019
175,TX1550600,Lorena Police Department,City,Texas,TX,West South Central,South,Region III,MCLENNAN,True,31.549493,-97.201472,01/01/2018
176,TX0910200,Denison Police Department,City,Texas,TX,West South Central,South,Region III,GRAYSON,True,33.624508,-96.675699,04/01/2019
177,TX1551700,Riesel Police Department,City,Texas,TX,West South Central,South,Region III,MCLENNAN,False,31.549493,-97.201472,
178,TX0151100,Olmos Park Police Department,City,Texas,TX,West South Central,South,Region III,BEXAR,True,29.471867,-98.4906,01/01/2019
179,TX1230500,Nederland Police Department,City,Texas,TX,West South Central,South,Region III,JEFFERSON,True,29.854,-94.149331,12/01/2018
180,TX1200200,Ganado Police Department,City,Texas,TX,West South Central,South,Region III,JACKSON,False,28.959802,-96.58908,
181,TX2271900,Sunset Valley Police Department,City,Texas,TX,West South Central,South,Region III,TRAVIS,True,30.239513,-97.69127,12/01/2016
182,TX2000000,Runnels County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,RUNNELS,True,31.738207,-99.94529,09/01/2018
183,TX0610500,Lake Dallas Police Department,City,Texas,TX,West South Central,South,Region III,DENTON,True,33.205005,-97.119046,08/01/2019
184,TX1081400,Weslaco Police Department,City,Texas,TX,West South Central,South,Region III,HIDALGO,False,26.17173,-97.974785,
185,TX0700100,Ennis Police Department,City,Texas,TX,West South Central,South,Region III,ELLIS,True,32.347294,-96.798231,02/01/2018
186,TX0430700,Prosper Police Department,City,Texas,TX,West South Central,South,Region III,DENTON; COLLIN,True,33.194745,-96.579846,01/01/2019
187,TX0310200,Combes Police Department,City,Texas,TX,West South Central,South,Region III,CAMERON,True,26.102923,-97.478958,10/01/2019
188,TX1261200,Venus Police Department,City,Texas,TX,West South Central,South,Region III,ELLIS; JOHNSON,True,32.379784,-97.364952,02/01/2019
189,TX1110000,Hood County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,HOOD,True,32.430149,-97.831677,09/01/2017
190,TX2150100,Breckenridge Police Department,City,Texas,TX,West South Central,South,Region III,STEPHENS,True,32.756283,-98.90226,01/01/2018
191,TX2370800,Prairie View  Police Department,City,Texas,TX,West South Central,South,Region III,WALLER,False,30.013578,-95.982102,
